Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,12/8/2023 6 p.m. EST,5879,12,3077,997,217,41984,14351,33550
PJM,12/8/2023 7 p.m. EST,6395,15,2519,1021,218,41663,14382,33587
PJM,12/8/2023 8 p.m. EST,7080,16,2449,1021,219,39054,13550,33588
PJM,12/8/2023 9 p.m. EST,7350,7,1638,1023,223,38755,13065,33587
PJM,12/8/2023 10 p.m. EST,7560,7,1122,1016,225,36956,12488,33515
PJM,12/8/2023 11 p.m. EST,7206,7,1016,1023,227,35627,12087,33514
PJM,12/9/2023 12 a.m. EST,8221,7,1072,1028,227,37312,12615,33782
PJM,12/9/2023 1 a.m. EST,7328,7,1041,1011,226,32691,11414,33332
PJM,12/9/2023 2 a.m. EST,7484,7,993,1004,225,32332,11149,33347
PJM,12/9/2023 3 a.m. EST,6513,7,966,1005,227,32650,11338,33372
PJM,12/9/2023 4 a.m. EST,6752,7,1022,1021,227,31806,11417,33386
PJM,12/9/2023 5 a.m. EST,7280,7,950,1021,224,31492,11621,33395
PJM,12/9/2023 6 a.m. EST,7637,7,1046,1042,228,33234,11998,33430
PJM,12/9/2023 7 a.m. EST,8290,19,1102,1031,226,35040,12507,33408
PJM,12/9/2023 8 a.m. EST,7998,929,1436,1095,228,34858,12809,33399
PJM,12/9/2023 9 a.m. EST,6802,2076,1471,1221,228,34756,12575,33420
PJM,12/9/2023 10 a.m. EST,5876,2482,1375,1240,227,33224,11979,33483
PJM,12/9/2023 11 a.m. EST,5997,2374,1424,1233,224,32746,11814,33574
PJM,12/9/2023 12 p.m. EST,6065,2405,1250,1215,221,33483,11873,33557
PJM,12/9/2023 1 p.m. EST,6236,2193,1178,1194,221,33138,11860,33554
PJM,12/9/2023 2 p.m. EST,5803,1519,1429,1141,219,33948,12069,33554
PJM,12/9/2023 3 p.m. EST,5411,1015,1437,1059,211,33606,11934,33589
PJM,12/9/2023 4 p.m. EST,5882,136,1774,1027,220,34964,12130,33682
PJM,12/9/2023 5 p.m. EST,5928,7,3926,1046,217,36166,12714,33706
PJM,12/9/2023 6 p.m. EST,6438,7,3828,1031,217,36567,12960,33705
PJM,12/9/2023 7 p.m. EST,6865,7,3078,1017,218,36654,12928,33693
PJM,12/9/2023 8 p.m. EST,7219,7,2353,1014,219,35604,12952,33700
PJM,12/9/2023 9 p.m. EST,7530,16,1089,1018,225,35205,12689,33707
PJM,12/9/2023 10 p.m. EST,7372,7,1122,1004,227,34379,11730,33589
PJM,12/9/2023 11 p.m. EST,7914,7,972,1004,227,32742,11346,33281
PJM,12/10/2023 12 a.m. EST,7316,7,1051,1019,227,33955,11766,33552
PJM,12/10/2023 1 a.m. EST,7743,7,950,1015,228,29117,10792,33285
PJM,12/10/2023 2 a.m. EST,7318,7,878,1017,228,29063,10685,33421
PJM,12/10/2023 3 a.m. EST,7255,7,872,977,223,28006,10638,33479
PJM,12/10/2023 4 a.m. EST,6896,7,725,985,229,27902,10656,33547
PJM,12/10/2023 5 a.m. EST,6626,8,772,971,229,28466,10634,33579
