Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,7/11/2023 2 p.m. EDT,2694,3775,4181,2332,446,63422,19658,32482
PJM,7/11/2023 3 p.m. EDT,2704,3699,4676,2514,530,64321,20739,32463
PJM,7/11/2023 4 p.m. EDT,2907,3672,4743,2748,519,66059,21473,32451
PJM,7/11/2023 5 p.m. EDT,3068,3208,5326,2952,520,66624,21783,32450
PJM,7/11/2023 6 p.m. EDT,2696,2433,5386,3146,521,66524,22074,32457
PJM,7/11/2023 7 p.m. EDT,1853,1077,5236,3003,500,65972,22062,32456
PJM,7/11/2023 8 p.m. EDT,1480,67,3903,2716,416,63880,21026,32488
PJM,7/11/2023 9 p.m. EDT,1546,13,779,2492,396,62492,20368,32488
PJM,7/11/2023 10 p.m. EDT,1638,13,624,1617,214,57851,20429,32536
PJM,7/11/2023 11 p.m. EDT,1644,8,571,1021,192,51777,18800,32542
PJM,7/12/2023 12 a.m. EDT,3261,4,1072,779,223,43849,15896,32634
PJM,7/12/2023 1 a.m. EDT,2161,4,480,751,396,46036,14554,32616
PJM,7/12/2023 2 a.m. EDT,2285,4,482,741,392,43964,13843,32630
PJM,7/12/2023 3 a.m. EDT,2418,4,506,746,392,41935,13243,32633
PJM,7/12/2023 4 a.m. EDT,2460,4,584,748,404,40698,12901,32642
PJM,7/12/2023 5 a.m. EDT,2866,4,562,755,421,41333,12891,32699
PJM,7/12/2023 6 a.m. EDT,2944,57,576,756,430,44080,13144,32718
PJM,7/12/2023 7 a.m. EDT,3084,1233,588,903,427,47402,13561,32722
PJM,7/12/2023 8 a.m. EDT,2267,2799,565,1079,424,50060,13938,32693
PJM,7/12/2023 9 a.m. EDT,1760,3598,586,1326,456,52442,14688,32647
PJM,7/12/2023 10 a.m. EDT,1637,3993,625,2288,585,56405,15250,32633
PJM,7/12/2023 11 a.m. EDT,1973,4056,1193,2196,994,60371,16440,32068
PJM,7/12/2023 12 p.m. EDT,2021,4016,2990,2368,831,62641,17511,32014
PJM,7/12/2023 1 p.m. EDT,1980,3733,4599,2506,804,64550,19124,32015
PJM,7/12/2023 2 p.m. EDT,2186,3759,5452,2527,731,65700,19707,32033
PJM,7/12/2023 3 p.m. EDT,3534,3715,5535,2551,796,65649,19674,32005
PJM,7/12/2023 4 p.m. EDT,4680,3467,4714,2610,939,66789,20983,31975
PJM,7/12/2023 5 p.m. EDT,4796,3125,4920,2634,1104,66183,21985,31968
PJM,7/12/2023 6 p.m. EDT,5006,2328,4257,2676,1272,66818,22248,31968
PJM,7/12/2023 7 p.m. EDT,4785,963,3827,2495,1192,66122,22764,31988
PJM,7/12/2023 8 p.m. EDT,4097,98,4941,2243,1190,63170,21671,32003
PJM,7/12/2023 9 p.m. EDT,4064,6,3916,2063,984,60828,20695,32070
PJM,7/12/2023 10 p.m. EDT,4265,6,2140,1012,927,57953,20266,32103
PJM,7/12/2023 11 p.m. EDT,3841,6,782,910,486,52449,18926,32108
PJM,7/13/2023 12 a.m. EDT,1866,4,504,735,390,48806,16859,32545
PJM,7/13/2023 1 a.m. EDT,2982,4,619,805,421,48504,15155,32053
PJM,7/13/2023 2 a.m. EDT,2904,4,508,808,417,46544,14501,32087
PJM,7/13/2023 3 a.m. EDT,2678,4,437,810,417,45533,13788,32098
PJM,7/13/2023 4 a.m. EDT,2111,4,441,810,420,45375,13616,32112
PJM,7/13/2023 5 a.m. EDT,1682,4,449,806,423,46705,13668,32114
PJM,7/13/2023 6 a.m. EDT,1394,58,559,815,422,49831,14592,32119
PJM,7/13/2023 7 a.m. EDT,1413,1070,510,964,420,51301,16018,32127
PJM,7/13/2023 8 a.m. EDT,1327,2641,508,1104,434,53156,17386,32090
PJM,7/13/2023 9 a.m. EDT,1245,3182,498,1311,741,56049,17781,32157
PJM,7/13/2023 10 a.m. EDT,1339,3505,541,2076,887,59520,18699,32129
PJM,7/13/2023 11 a.m. EDT,1310,3734,1144,2096,1035,61676,20508,32110
PJM,7/13/2023 12 p.m. EDT,1350,3849,2052,2217,1330,63513,21840,32084
PJM,7/13/2023 1 p.m. EDT,1297,3910,3953,2260,1656,65295,22370,32052
PJM,7/13/2023 2 p.m. EDT,1294,3598,4222,2054,1866,68034,23101,32036
PJM,7/13/2023 3 p.m. EDT,1306,3408,4755,2206,1754,68956,22783,32019
PJM,7/13/2023 4 p.m. EDT,864,2662,5393,2149,1989,70224,23708,31988
PJM,7/13/2023 5 p.m. EDT,624,2391,5052,2123,2698,70993,24251,31986
PJM,7/13/2023 6 p.m. EDT,653,1564,5406,1982,2839,70429,24014,31976
PJM,7/13/2023 7 p.m. EDT,620,670,4725,1946,2631,70518,23772,31971
PJM,7/13/2023 8 p.m. EDT,851,83,4596,1927,2488,67253,23713,31998
PJM,7/13/2023 9 p.m. EDT,930,4,2560,1880,2281,65851,23739,31969
PJM,7/13/2023 10 p.m. EDT,1062,4,630,1432,1762,62424,23204,31994
PJM,7/13/2023 11 p.m. EDT,1146,4,734,1127,929,56448,22877,31863
PJM,7/14/2023 12 a.m. EDT,3213,4,616,799,417,49816,16889,32075
PJM,7/14/2023 1 a.m. EDT,2010,4,455,1147,227,49121,19121,32068
PJM,7/14/2023 2 a.m. EDT,2068,4,440,1161,224,47360,17130,32081
